date,location,location_name,population,value,season,season_week,epiyear,epiweek,weekly_rate,state_mean,state_std,zflu
2022-04-02,29,Missouri,6196156,91.0,2021/2022,25,2022,13,1.45705700743547,150.121387283237,262.6328285293369,-0.225110423606594
2022-04-09,29,Missouri,6196156,77.0,2021/2022,26,2022,14,1.23289439090694,150.121387283237,262.6328285293369,-0.2784167832052615
2022-04-16,29,Missouri,6196156,77.0,2021/2022,27,2022,15,1.23289439090694,150.121387283237,262.6328285293369,-0.2784167832052615
2022-04-23,29,Missouri,6196156,70.0,2021/2022,28,2022,16,1.12081308264267,150.121387283237,262.6328285293369,-0.30506996300459516
2022-04-30,29,Missouri,6196156,55.0,2021/2022,29,2022,17,0.880638850647814,150.121387283237,262.6328285293369,-0.3621839197174532
2022-05-07,29,Missouri,6196156,66.0,2021/2022,30,2022,18,1.05676662077738,150.121387283237,262.6328285293369,-0.3203003514613573
2022-05-14,29,Missouri,6196156,39.0,2021/2022,31,2022,19,0.624453003186632,150.121387283237,262.6328285293369,-0.4231054735445017
2022-05-21,29,Missouri,6196156,33.0,2021/2022,32,2022,20,0.528383310388688,150.121387283237,262.6328285293369,-0.44595105622964487
2021-10-09,30,Montana,1132812,0.0,2021/2022,0,2021,40,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-10-16,30,Montana,1132812,0.0,2021/2022,1,2021,41,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-10-23,30,Montana,1132812,0.0,2021/2022,2,2021,42,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-10-30,30,Montana,1132812,0.0,2021/2022,3,2021,43,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-11-06,30,Montana,1132812,0.0,2021/2022,4,2021,44,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-11-13,30,Montana,1132812,0.0,2021/2022,5,2021,45,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-11-20,30,Montana,1132812,0.0,2021/2022,6,2021,46,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-11-27,30,Montana,1132812,0.0,2021/2022,7,2021,47,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-12-04,30,Montana,1132812,0.0,2021/2022,8,2021,48,0.0,22.68208092485549,39.99516790950741,-0.5671205325647263
2021-12-11,30,Montana,1132812,1.0,2021/2022,9,2021,49,0.0879327279458123,22.68208092485549,39.99516790950741,-0.5421175121432946
2021-12-18,30,Montana,1132812,2.0,2021/2022,10,2021,50,0.175865455891625,22.68208092485549,39.99516790950741,-0.5171144917218631
2021-12-25,30,Montana,1132812,1.0,2021/2022,11,2021,51,0.0879327279458123,22.68208092485549,39.99516790950741,-0.5421175121432946
2022-01-01,30,Montana,1132812,20.0,2021/2022,12,2021,52,1.75865455891625,22.68208092485549,39.99516790950741,-0.06706012413609402
2022-01-08,30,Montana,1132812,21.0,2021/2022,13,2022,1,1.84658728686206,22.68208092485549,39.99516790950741,-0.04205710371466241
2022-01-15,30,Montana,1132812,12.0,2021/2022,14,2022,2,1.05519273534975,22.68208092485549,39.99516790950741,-0.2670842875075469
2022-01-22,30,Montana,1132812,12.0,2021/2022,15,2022,3,1.05519273534975,22.68208092485549,39.99516790950741,-0.2670842875075469
2022-01-29,30,Montana,1132812,7.0,2021/2022,16,2022,4,0.615529095620686,22.68208092485549,39.99516790950741,-0.392099389614705
2022-02-05,30,Montana,1132812,9.0,2021/2022,17,2022,5,0.791394551512311,22.68208092485549,39.99516790950741,-0.3420933487718418
2022-02-12,30,Montana,1132812,13.0,2021/2022,18,2022,6,1.14312546329556,22.68208092485549,39.99516790950741,-0.2420812670861153
2022-02-19,30,Montana,1132812,7.0,2021/2022,19,2022,7,0.615529095620686,22.68208092485549,39.99516790950741,-0.392099389614705
2022-02-26,30,Montana,1132812,16.0,2021/2022,20,2022,8,1.406923647133,22.68208092485549,39.99516790950741,-0.16707220582182047
2022-03-05,30,Montana,1132812,21.0,2021/2022,21,2022,9,1.84658728686206,22.68208092485549,39.99516790950741,-0.04205710371466241
2022-03-12,30,Montana,1132812,14.0,2021/2022,22,2022,10,1.23105819124137,22.68208092485549,39.99516790950741,-0.2170782466646837
2022-03-19,30,Montana,1132812,16.0,2021/2022,23,2022,11,1.406923647133,22.68208092485549,39.99516790950741,-0.16707220582182047
2022-03-26,30,Montana,1132812,19.0,2021/2022,24,2022,12,1.67072183097043,22.68208092485549,39.99516790950741,-0.09206314455752564
2022-04-02,30,Montana,1132812,38.0,2021/2022,25,2022,13,3.34144366194087,22.68208092485549,39.99516790950741,0.382994243449675
2022-04-09,30,Montana,1132812,19.0,2021/2022,26,2022,14,1.67072183097043,22.68208092485549,39.99516790950741,-0.09206314455752564
2022-04-16,30,Montana,1132812,14.0,2021/2022,27,2022,15,1.23105819124137,22.68208092485549,39.99516790950741,-0.2170782466646837
2022-04-23,30,Montana,1132812,21.0,2021/2022,28,2022,16,1.84658728686206,22.68208092485549,39.99516790950741,-0.04205710371466241
2022-04-30,30,Montana,1132812,18.0,2021/2022,29,2022,17,1.58278910302462,22.68208092485549,39.99516790950741,-0.11706616497895725
2022-05-07,30,Montana,1132812,20.0,2021/2022,30,2022,18,1.75865455891625,22.68208092485549,39.99516790950741,-0.06706012413609402
2022-05-14,30,Montana,1132812,9.0,2021/2022,31,2022,19,0.791394551512311,22.68208092485549,39.99516790950741,-0.3420933487718418
2022-05-21,30,Montana,1132812,11.0,2021/2022,32,2022,20,0.967260007403936,22.68208092485549,39.99516790950741,-0.2920873079289785
2021-10-09,31,Nebraska,1978379,0.0,2021/2022,0,2021,40,0.0,34.50867052023121,59.40583896768705,-0.5808969475037917
2021-10-16,31,Nebraska,1978379,1.0,2021/2022,1,2021,41,0.0498637473104741,34.50867052023121,59.40583896768705,-0.5640635853734474
2021-10-23,31,Nebraska,1978379,0.0,2021/2022,2,2021,42,0.0,34.50867052023121,59.40583896768705,-0.5808969475037917
2021-10-30,31,Nebraska,1978379,0.0,2021/2022,3,2021,43,0.0,34.50867052023121,59.40583896768705,-0.5808969475037917
2021-11-06,31,Nebraska,1978379,0.0,2021/2022,4,2021,44,0.0,34.50867052023121,59.40583896768705,-0.5808969475037917
2021-11-13,31,Nebraska,1978379,1.0,2021/2022,5,2021,45,0.0498637473104741,34.50867052023121,59.40583896768705,-0.5640635853734474
2021-11-20,31,Nebraska,1978379,0.0,2021/2022,6,2021,46,0.0,34.50867052023121,59.40583896768705,-0.5808969475037917
2021-11-27,31,Nebraska,1978379,3.0,2021/2022,7,2021,47,0.149591241931422,34.50867052023121,59.40583896768705,-0.5303968611127586
2021-12-04,31,Nebraska,1978379,18.0,2021/2022,8,2021,48,0.897547451588534,34.50867052023121,59.40583896768705,-0.27789642915759283
2021-12-11,31,Nebraska,1978379,22.0,2021/2022,9,2021,49,1.09700244083043,34.50867052023121,59.40583896768705,-0.21056298063621529
2021-12-18,31,Nebraska,1978379,11.0,2021/2022,10,2021,50,0.548501220415215,34.50867052023121,59.40583896768705,-0.39572996407000355
2021-12-25,31,Nebraska,1978379,30.0,2021/2022,11,2021,51,1.49591241931422,34.50867052023121,59.40583896768705,-0.07589608359346021
2022-01-01,31,Nebraska,1978379,42.0,2021/2022,12,2021,52,2.09427738703991,34.50867052023121,59.40583896768705,0.1261042619706724
2022-01-08,31,Nebraska,1978379,31.0,2021/2022,13,2022,1,1.5457761666247,34.50867052023121,59.40583896768705,-0.059062721463115836
2022-01-15,31,Nebraska,1978379,28.0,2021/2022,14,2022,2,1.39618492469328,34.50867052023121,59.40583896768705,-0.10956280785414899
2022-01-22,31,Nebraska,1978379,18.0,2021/2022,15,2022,3,0.897547451588534,34.50867052023121,59.40583896768705,-0.27789642915759283
2022-01-29,31,Nebraska,1978379,24.0,2021/2022,16,2022,4,1.19672993545138,34.50867052023121,59.40583896768705,-0.17689625637552653
2022-02-05,31,Nebraska,1978379,34.0,2021/2022,17,2022,5,1.69536740855612,34.50867052023121,59.40583896768705,-0.00856263507208268
2022-02-12,31,Nebraska,1978379,29.0,2021/2022,18,2022,6,1.44604867200375,34.50867052023121,59.40583896768705,-0.09272944572380461
2022-02-19,31,Nebraska,1978379,32.0,2021/2022,19,2022,7,1.59563991393517,34.50867052023121,59.40583896768705,-0.04222935933277145
2022-02-26,31,Nebraska,1978379,40.0,2021/2022,20,2022,8,1.99454989241897,34.50867052023121,59.40583896768705,0.09243753770998363
2022-03-05,31,Nebraska,1978379,53.0,2021/2022,21,2022,9,2.64277860745513,34.50867052023121,59.40583896768705,0.3112712454044606
2022-03-12,31,Nebraska,1978379,43.0,2021/2022,22,2022,10,2.14414113435039,34.50867052023121,59.40583896768705,0.1429376241010168
2022-03-19,31,Nebraska,1978379,61.0,2021/2022,23,2022,11,3.04168858593892,34.50867052023121,59.40583896768705,0.4459381424472157
2022-03-26,31,Nebraska,1978379,60.0,2021/2022,24,2022,12,2.99182483862845,34.50867052023121,59.40583896768705,0.4291047803168713
2022-04-02,31,Nebraska,1978379,25.0,2021/2022,25,2022,13,1.24659368276185,34.50867052023121,59.40583896768705,-0.16006289424518214
2022-04-09,31,Nebraska,1978379,35.0,2021/2022,26,2022,14,1.74523115586659,34.50867052023121,59.40583896768705,0.008270727058261703
2022-04-16,31,Nebraska,1978379,29.0,2021/2022,27,2022,15,1.44604867200375,34.50867052023121,59.40583896768705,-0.09272944572380461
2022-04-23,31,Nebraska,1978379,16.0,2021/2022,28,2022,16,0.797819956967586,34.50867052023121,59.40583896768705,-0.3115631534182816
2022-04-30,31,Nebraska,1978379,16.0,2021/2022,29,2022,17,0.797819956967586,34.50867052023121,59.40583896768705,-0.3115631534182816
2022-05-07,31,Nebraska,1978379,6.0,2021/2022,30,2022,18,0.299182483862845,34.50867052023121,59.40583896768705,-0.4798967747217254
2022-05-14,31,Nebraska,1978379,4.0,2021/2022,31,2022,19,0.199454989241897,34.50867052023121,59.40583896768705,-0.5135634989824143
2022-05-21,31,Nebraska,1978379,7.0,2021/2022,32,2022,20,0.349046231173319,34.50867052023121,59.40583896768705,-0.46306341259138106
2021-10-09,32,Nevada,3194176,66.0,2021/2022,0,2021,40,2.0199132845106,50.04571428571428,80.03632918961101,0.19933804905631078
2021-10-16,32,Nevada,3194176,7.0,2021/2022,1,2021,41,0.214233227145064,50.04571428571428,80.03632918961101,-0.5378271932454114
